id,tool_id,tool_name,category,description,total_quantity,available_quantity,unit_price,created_at
225,null,"Presentor MCU432000W","General","Presentor MCU432000W",10,10,"0.00","2026-07-02T04:46:53.320Z"
226,null,"Scanner","General","Scanner",10,10,"0.00","2026-07-02T04:46:53.326Z"
227,null,"CPU SN:R302BKSP","General","CPU SN:R302BKSP",10,10,"0.00","2026-07-02T04:46:53.331Z"
228,null,"RTC Battery","General","RTC Battery",10,10,"0.00","2026-07-02T04:46:53.338Z"
229,null,"Smart multicolor LEDs controller kit","General","Smart multicolor LEDs controller kit",10,10,"0.00","2026-07-02T04:46:53.344Z"
230,null,"Improvar with Display","General","Improvar with Display",10,10,"0.00","2026-07-02T04:46:53.350Z"
231,null,"Power Supply","General","Power Supply",10,10,"0.00","2026-07-02T04:46:53.355Z"
232,null,"rs485/rs422 to rs 232 converter","General","rs485/rs422 to rs 232 converter",10,10,"0.00","2026-07-02T04:46:53.361Z"
233,null,"Electrical Panel includes - Sheetmetal Panel - SMPS 12V DC - Accessories - wire - Internal Wiring - HDMI to DP Converter - PoE Adapter - Ethernet Switch","General","Electrical Panel includes - Sheetmetal Panel - SMPS 12V DC - Accessories - wire - Internal Wiring - HDMI to DP Converter - PoE Adapter - Ethernet Switch",10,10,"0.00","2026-07-02T04:46:53.367Z"
234,null,"Electrical Panel","General","Electrical Panel",10,10,"0.00","2026-07-02T04:46:53.373Z"
235,null,"IOT CPU","General","IOT CPU",10,10,"0.00","2026-07-02T04:46:53.379Z"
236,null,"Crimping tool","General","Crimping tool",10,10,"0.00","2026-07-02T04:46:53.385Z"
237,null,"Crimp Wire Lugs","General","Crimp Wire Lugs",10,10,"0.00","2026-07-02T04:46:53.391Z"
238,null,"RS232 to RS485 Convertor","General","RS232 to RS485 Convertor",10,10,"0.00","2026-07-02T04:46:53.397Z"
239,null,"Image Processing variant 8GB","General","Image Processing variant 8GB",10,10,"0.00","2026-07-02T04:46:53.404Z"
240,null,"Image Processing Variant 4GB","General","Image Processing Variant 4GB",10,10,"0.00","2026-07-02T04:46:53.410Z"
241,null,"Camera with 2 lens","General","Camera with 2 lens",10,10,"0.00","2026-07-02T04:46:53.416Z"
242,null,"Sensor","General","Sensor",10,10,"0.00","2026-07-02T04:46:53.423Z"
